"","Title","Name","Rating","DateReview","TextReview","TitleReview"
"1","Anyone But You","irmahakanssonkontakt","10/10","20 February 2024","It's cheesy, hilarous, spicy and the lead guy is smoking hot - it's perfect! It's just like a rom-com should be. It's also a breath of fresh air because, even though it contained many of the major rom-com tropes, many new, unexpected and fun things happened - especially regarding the settings, the specifik plot and the side-characters. Beau especially was absolutely hilarious. The movie also immediately catches your attention with the first scene. If you didn't like this movie, rom-come might not be for you because this is the best rom-com I have seen in a while. I also love ""Unwritten"" by Natasha Bedingfield😍"," The perfect rom-com!"
"2","Anyone But You","Maggysbird","6/10","10 February 2024","The six points are for Glenn Powell as I couldn't see anything appealing about the female lead. I found her quite wooden and bland. I'm thinking Kate Hudson type vibes. I don't think I've seen her in anything else so I have no comparison to her other work. I have watched a few of Powell's other movies and really enjoyed his performances. I also felt they were mismatched on an attractiveness scale, her being the one who was seriously punching. The story was pretty corny and incredibly predictable but it's not an unpleasant film, just a bit daft. I certainly wouldn't watch it again even if I was bored. Each to their own I suppose but it wasn't for me."," A bit meh"
"3","Anyone But You","BogiRay","8/10","20 February 2024","The main story is good but the side characters are very meaningless. The movie starts very quickly and the story does not deepen. However, our duo is incredibly compatible in the movie. It's a fun and relaxing movie to watch.What are the pros?Great harmony of the duo
Beautiful shots from Australia
Cuter versions of the clumsiness in every romantic comedy movieWhat are the cons?Not going into details of the characters
The side characters are very caricatured.Fast pace of the story
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."," chemistry is good"
"4","Anyone But You","madkatwhiskers","2/10","7 March 2024","It's broken. It's gone and never coming back, even if it's based on Shakespeare.We will never again have unapologetically witty and funny romcoms with crazy hot tension between the main characters. (How to lose a guy in 10 days, Ugly Truth, What happens in Vegas, 10 things I hate about you, Pretty Woman, Hitch)No one wants to stay through an hour and a half of therapy talk, and characters telling us not liking the cringe makes us cringe. Sweeney does that.The script is dry and devoid of any real humor. Boomers apologizing for non-issues is not that funny, especially when worked into the few scenes recreating some of the finest dialogue in Much Ado About Nothing.The main characters constantly undercut themselves with petty reactions to misunderstandings. Powell's and Sweeney's characters lack depth, and it's not because of their delivery. They were directed to reflect on and criticize their characters without providing adequate context or background.We do not understand why Ben (Powell) is a fboy. Has he magically inherited his Hangman karma from Top Gun? Are we to infer that from his Patrick Bateman workout regiment? Was he that disappointed they did not have sex on the first date? Is he actually keen on his ex?Nor are we told why Bea (Sweeney) is conflicted about law school or understand why she broke up with her fiance. She always wanted to get married and possibly have a family. We are told as much.She says she didn't like they never fought with her fiance. But it's not the fighting she enjoys with Ben, and it's evident because they suck at it. They actually had a very pleasant first encounter characterized by the absence of any confrontation.If I am reading too much about rom-com characters, it is because these two seem fixed to question their thoughts and actions throughout the movie continuously. I cannot fathom how Gluck, who gave us a gem twenty years ago with Easy A and Emma Stone's memorable monologues, is responsible for this.There were a couple of moments when the movie tried to redeem itself.Powell decided the best way for Sweeney to inspect him for any crawling critters was by spreading his cheeks. Interestingly, this is the only part of the millennial vulgar wave humor they kept- perhaps to make amends for the overall lack of funny.The mother-in-law eventually puts an end to all non-adult behavior. ""No one is 29""- get it together.Not enough to stay through the whole thing."," Rom-com knowhow is lost"
"5","Anyone But You","lucymdancer","10/10","5 January 2024","This movie was a cinematic masterpiece, it was so funny and really balanced the immature feuding with mature themes. The character have complex backgrounds while all contributing again and again to the drama which always makes everything more entertaining. The chemistry that the actors have is amazing and their stories are so funny and realistic. The main characters were again and again going through cycles of love to hate to civil and starting all over again. The story line has so many amazing jokes and themes that no other movie I've seen before has executed. Love this movie so much, definitely recommend."," Hilarious"
"6","Anyone But You","mzndpqy","9/10","24 January 2024","I wanted to watch the movie again the next day to immerse myself in the beautiful feel-good movie world of ""Anything but you"" and escape the dreary January.Watch the trailer and you'll know what to expect. The movie is perfect when the mood is gloomy, the weather is bad or you just want something nice. Why?Reason number 1: The beautiful scenery. The movie takes place in Australia on beautiful beaches and an even more beautiful beach house.Reason number 2: The movie has really funny moments and not too many over-the-top cringe moments like other comedies.Reason number 3: The lead actors Sydney Sweeney and Glen Powell in particular have a certain chemistry that makes it fun to watch.And reason number 4: The movie always sets ""cool"" scenes through well-chosen songs. The epitome of this is the creative use of ""Unwritten"".The typical romcom ending could perhaps have been implemented a little smarter, but the movie delivers no less than you would expect from a good romcom, in fact a little more."," Like your feelgood sitcom for Sunday evenings, only as a movie"
"7","Anyone But You","henrifs","2/10","2 April 2024","I'd dare anyone to watch this whole movie with an ugly cast. Very predictable rom, couldn't find the com. This is one of those movies that you don't need to use any braincells to watch - and the less you have, the better. Do yourself a favor and save some time.I really hope no one in real life acts like the cast in this movie. The best actor in the cast is the dog. I'm sure Australians also didn't enjoy watching the stereotyped lines from the Australians in the movie.Good things about this movie:
Sydney SweeneySydney, AustraliaI found it very hard to use the minimum required characters for a review about this movie. There's not that much to talk about it."," 50 tons of cringe"
"8","Anyone But You","leanaosmani","8/10","24 February 2024","This film maybe is a little overrated but is was nice to watch. I like it but i didnt love it. If you want to watch a cute film it is great. It isnt boring. The characters was nice . And the film was a good quality. I did love the charachter of Bea and tbh i didnt like to much Ben. I would recommend to not watch it with your parents cuz the films had some scenes with nudity etc. I hopeee myyy review helps youu........
Ps: I love the scene of bea and ben doing the titanic moves for everyone to watch it . It was funny and nice at the same time.Give me any suggestions for films cuz i dont know what to watch."," For me it was a 8"
"9","Anyone But You","griffin-62013","10/10","23 January 2024","""Anyone but You"" effortlessly captures the essence of love and laughter, earning a well-deserved 10/10. Sydney Sweeney's portrayal in the film is nothing short of exceptional, bringing a refreshing authenticity to the characters.The movie's strength lies in its clever use of rude humor, which adds a distinctive flavor to the narrative. The sharp wit and comedic timing contribute to the overall enjoyment, creating a lighthearted atmosphere that keeps the audience engaged.What truly sets this romantic comedy apart is its ability to forge a genuine connection with the audience through the portrayal of relationships. The characters are relatable, and the chemistry between them is palpable. Viewers find themselves easily immersed in the unfolding story, making the emotional beats resonate on a personal level.The film's success can be attributed to a well-crafted balance of humor and heartfelt moments. The script, combined with the stellar performances, weaves a narrative that not only entertains but also tugs at the heartstrings. Sydney Sweeney's acting prowess shines through, adding layers of depth to the characters and making them memorable.In essence, ""Anyone but You"" is a cinematic gem that delivers on multiple fronts. It's a testament to the power of a well-executed romantic comedy, leaving audiences with a warm and satisfied feeling proving that rom-coms can actually have success in the box office. Whether you're a fan of witty humor, compelling characters, or just a good love story, this film ticks all the boxes and deserves its perfect score."," The revitalization of Romantic Comedy in theaters"
"10","Anyone But You","miminganongobosso","4/10","28 March 2024","I watched this movie in theater with my friend. We watched it because the song Unwritten is very hyped on TikTok. But you need to know that I live in Germany and in Germany we have a thing called FSK (Freiwillige Selbstkontrolle der Filmwirtschaft) That means that the maker of the movie can decide what the minimum age is to watch it. And I have no idea who decided the FSK for this movie but in Germany the FSK is 0. That means that little children from 0 years can watch it. The problem is that in this film the actors sometimes are not wearing much clothes. The movie is way too much sexual for little children. Because in the theater we were sitting in there were also kids that were like 7-10 years old. And this movie is definitely not made for this age range."," Little children"
