"","Title","Name","Rating","DateReview","TextReview","TitleReview"
"1","Late Night with the Devil","dbutle-34095","7/10","25 March 2024","At first I was giving this movie a 6 out of 10 I walked out of the movie theater thinking what in the hell did I just watch I thought it was pretty entertaining for the most part because of the acting and just the overall suspense of the movie wondering what's going to happen next and at first the ending was really not as exciting of a climax for myself personally that I prefer in a movie. Afterwards talking it over with my wife who was with me we both agreed that the movie is more of a psychological thriller cult comedy and that there were a lot of subtle hints throughout the movie and any questions that may have been on your mind throughout the movie can be answered visually throughout the movie rather than just coming straight out and telling you like so many other movies do by the end so leaving the movie theater or your first watch of the movie you may not understand but talking it over with my wife I see a lot of understanding for what the movie was portraying and it definitely is a movie that you have to pay attention to the story and pay attention to what they're saying and pay attention visually to really understand it all in all a good movie I changed my rating to an eight out of 10 just for the fact that I thought it could have been more of an exciting movie than it probably would have gotten a 10 out of 10 but either way definitely worth a watch I'm going to watch it again just so I can see the story matching up like I realized afterwards when I was talking about it with my wife."," This movie leaves you thinking afterwards"
"2","Late Night with the Devil","jwburke94","7/10","24 March 2024","I went to see this movie with my wife, we love horror movies and this is one I was excited to see. This was definitely a film that was unique in different ways. I loved how it was shot, it was a blast from the past. The first half of the film had great pacing, it kept you on your toes and never knew what to expect. The actors in it were fantastic. The thing was the last thirty minutes of the film. It was definitely going to be something where I am going to have to look up what it meant. It did not make much sense and that's okay. I liked how it was a different type of horror movie in almost every way. It wasn't bad, I thought that it could've finished in a different way."," An interesting film"
"3","Late Night with the Devil","me-18422","6/10","23 March 2024","If you're someone who likes the Exorcist / Omen genre, maybe try Late Night With The Devil that adds a 1970s late-night talk show spin on those films. Is this movie a mess? Yes it definitely is. Is it entertaining? Yeah okay sure. I love the 1970s aesthetic and the lead actors playing Jack and Gus are both really good. I particularly enjoyed the practical horror effects and it has some fun jump scares, but to me it isn't scary. I've always been confused about that whole concept that those Exorcist / Omen movies are built on. When the demon-possessed character starts levitating or vomiting bile, that's so funny to me and I can't help but break out laughing. I also think it's hilarious how Bohemian Grove is incorporated into the plot. And the references to Anton Szandor Lavey are cringe too. I laughed way more than anyone else in the movie theater. It doesn't ultimately matter whether I was laughing at the movie or with it, but I don't want to analyze too much about what's going on with people who'd actually find this scary."," It's a mess but it's fun."
"4","Late Night with the Devil","niebo76","6/10","5 April 2024","I did enjoy the cinematography blended with color and some black and white which if I recall correctly was whenever the ""late show"" would go into commercial breaks while focusing on the off-air dialogues. What I didn't like about the movie was that there were moments when the character development took longer than I would've expected.The ending to me was odd and maybe more in tune with what a 70's horror movie would represent. In either case I found the ending confusing and with a lack of surprise, shock or awe which is what I expect in horror films.Personally, I felt that the climax of the movie was done poorly and left me disappointed."," A bit disappointed"
"5","Late Night with the Devil","LikeallHungarians","3/10","3 April 2024","I watched Late Night with the Devil late at night (but in a sparsely attended showing a chain multiplex). From the trailers and press releases, I was mildly interested--it takes a lot for me to not just give any satanic possession movie a watch (like Immaculate looking utterly unoriginal)--and certain circumstances conspired for me to spend $5 on a ticket.The product feels like a first film, particularly babby's first screenplay, as there are certain original ideas floating around, and interesting approaches for tropes, yet ultimately not the right expertise to pull it off, as ultimately the director(s) don't have anything to add to the genre other than a form that has seen something of a resurgence in interest: as a total fan of The Eric Andre Show, I love '70s late-night talk show period stylings as much as anyone, but the set dressing isn't enough to carry a demonic possession picture when the movie itself mentions--and that introduction is horribly over-extended, with all that framing poorly executed anyways, as the voiceover is supposedly contextualizing this as some TV special yet without the feel of what we actually see on TV, with all kinds of filler imagery and words that we certainly don't need by this point--all the evil that actually existed at the time--indeed, this feels like Halloween shlock, which makes the April release ill-fitting, instead ending up something destined to be shown as an actual rerun on TVs during that season.The performances are by & large sub-par in a lack of talent way, not camp. Maybe that is the legacy of '70s television, but it means that era will be much better remembered for Amityville."," A high concept that fails to deliver"
"6","Late Night with the Devil","geraldj-10740","1/10","30 March 2024","WTH?! Went into this after reading all the great reviews and yes the devil is a liar! This has to be the worst ""horror"" movie of all time. It's unbelievably stupid and insulting to any paying audience. As a matter of fact, I would not even get paid to watch this movie again. The deception of this being horror is far beyond reality of what horror really is. The only horror is.......this movie actually made it to the theaters and is going to make more than a dollar! My girlfriend looked at me and said......really this is the movie you were raving about?! All I could say was....... I don't know what the hell we just watched but the devil is laughing at all of us even more for getting deceived! Not even a zero out of ten!"," The Devil is a LIAR!"
"7","Late Night with the Devil","jmjmartinez","9/10","23 March 2024","PLEAS WATCH IN THEATERS AT NIGHT BEFORE READING ANY REVIEW.I use IMDb pretty often but I never made an account until now!!! I made it specifically for this movie. I just came out of the theater struck with awe and amazement at how a horror movie could make me feel on edge and refreshed. My girlfriend and I can't stop talking about how during the movie we felt like children getting scarred by some random disturbing video we found on YouTube or how it made us feel like we were experiencing paranormal in person. Kind of nostalgic in that sense. Polka dot man and his supporting actors did a stellar job and the talk show setting is was an outstanding idea for a horror film. Some of the visuals were a bit cheap but they didn't really talke me out of the movie. HIGHLY RECOMMEND. This is definitely in my top favorite horror movies alongside the terrifier movies and evil dead."," AMAZING AND REFRESHING"
"8","Late Night with the Devil","dyingxmidwestern-1","8/10","31 March 2024","Hype around this one has been buzzing for what seems like years, and i'm relieved to say it's mostly warranted. To distill a review down to its most basic form, this film is actually F U N and entertaining. Ya know... how movies used to feel? And to my shock and surprise the filmmakers even managed to write an ending. (something missing from nearly every film i've seen this year)the plot synopsis tells you everything you need to know, and while the recently released trailer does reveal perhaps a bit too much, the experience still feels fresh and you're happy to be along for the ride. Some overly-ham-fisted acting (defenders will say intentional) does ding the film a couple of points, but overall this was one of the most enjoyable movie theater experiences i've had in a while. *even my wife loved it, who is not typically a horror fan* strong recommend."," the first decent horror film of 2024?"
"9","Late Night with the Devil","jameshannon","10/10","30 March 2024","I finally found a local theater showing Late Night with the Devil with David Dastmalchian and bee-lined over to Scotch Plains to go see it.... If you know me, you know why I wanted to see it, but also everyone I know who saw it couldn't stop talking about it. So there was extra motivation to go see it (even on Good Friday )#DavidDastmalchian plays a 1970s late night tv host who is trying to beat Johnny Carson. And after some ups and downs, he put on an episode called #ConversationsWithTheDevil and it's exactly what it sounds like. And of course things get out of hand. #NoSpoilersIt is an excellent movie and David really shines as a late night host - to the point where he needs his own show in real life. He goes from being the schmoozy host to being sincere to being ""HolyCrap! What is he doing???""I love the way the story was presented as if it were a news report investigating what happened. It was very different and refreshing from what I'm used to seeing. The rest of the cast were amazing as well and I can't explain why without giving spoilers - but they all played their parts wonderfully.This was a movie where I wasn't looking at my watch every 15 minutes - the time flew by. Even my wife Jackie loved it and it isn't her normal type of movie.Go watch it, this is going to be a sleeper hit when more people hear about it and it gets into more theaters!"," Uniquely presented and solid movie that kept us engaged!"
"10","Late Night with the Devil","taylorcarlstrom","5/10","31 March 2024","I was misguided by the 7.5 score, not realizing it hasn't had time to marinate. I appreciate the aesthetic that shudder aimed for, but the story fell flat. The narrative is lacking many key points that could have help build the plot, to which I still don't know.. It was simply boring in my opinion. I was lulled to sleep, waiting for a jumping off point. The bits and pieces of somewhat enthusiastic scenes simply smothered like a poorly lit fire! Right when you think things are picking up, you are sent into a confusing spiral of an ending that doesn't satisfy any of your needs in the horror genre."," The potential was there..."
